,num4black,num4white,0,1
F5F6E6D6E7G5C5C6E3D3C7F8C3F2F4F3G6D7C8H6C4G4E2D8G3H4E8F7,1.0,1.0,60.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2F4F3G6D7C8H6C4G4E2D8G3H4E8F7G8,1.0,1.0,61.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2F4F3G6D7C8H6C4G4E2D8G3H4E8F7G8C2,1.0,1.0,,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1G4H5D2,1.0,2.0,63.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1G4H5D2G3,1.0,2.0,64.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1G4H5D2G3G6,1.0,2.0,65.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1G4H5D2G3G6C1,1.0,2.0,66.0,71.0
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1G4H5D2G3G6C1H3,2.0,1.0,67.0,70.0
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1G4H5D2G3G6C1H3B3,1.0,1.0,,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2F4F3G6D7C8D8E8B8C4G4F7D2H3H4H5,1.0,1.0,69.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2F4F3G6D7C8D8E8B8C4G4F7D2H3H4H5G8,1.0,1.0,,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1G4H5D2G3G6C1H3F7,1.0,1.0,,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1G4H5D2G3G6C1E8,1.0,1.0,72.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1G4H5D2G3G6C1E8F7,1.0,1.0,,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1G4H5H4H3D8E8D2G3,1.0,1.0,,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2F4F3G6D7C8D8E8B8C4G4F7B5H3H4E2G8,1.0,1.0,,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2F4F3G6D7C8D8E8B8C4G4F7D2H3H4C2G8,1.0,1.0,,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1G4H5H4H3D2,1.0,1.0,77.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1G4H5H4H3D2G3,1.0,1.0,78.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1G4H5H4H3D2G3D8,1.0,1.0,79.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1G4H5H4H3D2G3D8E8,1.0,1.0,,
