,num4black,num4white,0,1,2,3,4,5
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8H5,2.0,1.0,49.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8H5D7,2.0,1.0,50.0,52.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8H5D7H3,1.0,1.0,51.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8H5D7H3H2,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8H5D7G7,1.0,1.0,53.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8H5D7G7E7,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8G7,1.0,1.0,55.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8G7H5,1.0,1.0,56.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8G7H5A7,1.0,1.0,57.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8G7H5A7E7,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8A7,2.0,1.0,59.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8A7H5,2.0,1.0,60.0,62.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8A7H5G2,1.0,1.0,61.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8A7H5G2B2,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8A7H5G7,1.0,1.0,63.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1F7H6A5F8A7H5G7E7,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7,3.0,1.0,65.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7H6,3.0,1.0,66.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7H6A5,3.0,1.0,67.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7H6A5A2,3.0,1.0,68.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7H6A5A2H5,3.0,1.0,69.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7H6A5A2H5D8,3.0,1.0,70.0,72.0,74.0,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7H6A5A2H5D8H3,1.0,1.0,71.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7H6A5A2H5D8H3C7,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7H6A5A2H5D8C7,1.0,1.0,73.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7H6A5A2H5D8C7H3,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7H6A5A2H5D8C8,1.0,1.0,75.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4E1B1D7H6A5A2H5D8C8E7,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7,4.0,1.0,77.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6,4.0,1.0,78.0,88.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6A5,2.0,1.0,79.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6A5A2,2.0,1.0,80.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6A5A2E1,2.0,1.0,81.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6A5A2E1B1,2.0,1.0,82.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6A5A2E1B1H5,2.0,1.0,83.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6A5A2E1B1H5F8,2.0,1.0,84.0,86.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6A5A2E1B1H5F8G7,1.0,1.0,85.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6A5A2E1B1H5F8G7H3,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6A5A2E1B1H5F8E8,1.0,1.0,87.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6A5A2E1B1H5F8E8D8,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6E1,2.0,2.0,89.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6E1B1,2.0,2.0,90.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6E1B1A5,2.0,2.0,91.0,98.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6E1B1A5A2,2.0,1.0,92.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6E1B1A5A2H5,2.0,1.0,93.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6E1B1A5A2H5F8,2.0,1.0,94.0,96.0,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6E1B1A5A2H5F8G7,1.0,1.0,95.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6E1B1A5A2H5F8G7H3,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6E1B1A5A2H5F8E8,1.0,1.0,97.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6E1B1A5A2H5F8E8D8,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6E1B1A5F8,6.0,1.0,99.0,103.0,109.0,113.0,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6E1B1A5F8H3,1.0,1.0,100.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6E1B1A5F8H3H5,1.0,1.0,101.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6E1B1A5F8H3H5A7,1.0,1.0,102.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6E1B1A5F8H3H5A7B2,1.0,1.0,,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6E1B1A5F8H5,2.0,1.0,104.0,,,,,
F5D6C3D3C4F4C5B3C2E3D2C6B4A3G3G4F3C1B5A4A6D1E2F2G1F6E6G6F1G5H4F7H6E1B1A5F8H5D7,2.0,1.0,105.0,107.0,,,,
