,num4black,num4white,0,1,2
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3,1.0,2.0,52.0,89.0,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3F1,4.0,1.0,53.0,67.0,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3F1D2,3.0,1.0,54.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3F1D2H3,3.0,1.0,55.0,93.0,94.0
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3F1D2H3A7,1.0,1.0,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7,2.0,2.0,57.0,62.0,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7C2,1.0,2.0,58.0,99.0,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7C2D2,1.0,1.0,59.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7C2D2D1,1.0,1.0,60.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7C2D2D1B8,1.0,1.0,61.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7C2D2D1B8B7,1.0,1.0,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7G4,1.0,2.0,63.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7G4B8,1.0,2.0,64.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7G4B8B7,1.0,2.0,65.0,83.0,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7G4B8B7H8,2.0,1.0,66.0,70.0,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7G4B8B7H8C2,1.0,1.0,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3F1D1,1.0,1.0,68.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3F1D1C1,1.0,1.0,69.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3F1D1C1D2,1.0,1.0,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7G4B8B7H8H5,1.0,1.0,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8A2,1.0,2.0,72.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8A2F2,1.0,2.0,73.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8A2F2E2,1.0,2.0,74.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8A2F2E2E1,1.0,2.0,75.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8A2F2E2E1G5,1.0,2.0,76.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8A2F2E2E1G5H4,1.0,2.0,77.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8A2F2E2E1G5H4G4,1.0,2.0,78.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8A2F2E2E1G5H4G4G3,1.0,2.0,79.0,95.0,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8A2F2E2E1G5H4G4G3F1,4.0,1.0,80.0,103.0,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8A2F2E2E1G5H4G4G3F1D1,1.0,1.0,81.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8A2F2E2E1G5H4G4G3F1D1C1,1.0,1.0,82.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8A2F2E2E1G5H4G4G3F1D1C1D2,1.0,1.0,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7G4B8B7H4,1.0,1.0,84.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8H7G4B8B7H4F2,1.0,1.0,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8B8B7H7G4H8H5,1.0,1.0,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8B8B7H7C2,1.0,1.0,87.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8B8B7H7C2D2,1.0,1.0,88.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8E8G8G3B3G5A6A7A8B8B7H7C2D2D1,1.0,1.0,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3H5,1.0,1.0,90.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3H5H6,1.0,1.0,91.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3H5H6F1,1.0,1.0,92.0,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3H5H6F1D1,1.0,1.0,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3F1D2H3H2,1.0,1.0,,,
F5D6C3D3C4F4F6F3E6E7F7C5B6G6F8D8D7C6B5B4A5A3E3C7A4C8A2F2E8G8E2E1G5H4G4G3F1D2H3G1,1.0,1.0,,,
