,num4black,num4white,0,1,2,3,4,5,6
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2B6B5A5A3,2.0,1.0,55.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2B6B5A5A3C8,2.0,1.0,56.0,982.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2B6B5A5A3C8A7,1.0,1.0,,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2B6B3,3.0,1.0,58.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2B6B3G3,3.0,1.0,59.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2B6B3G3G4,3.0,1.0,60.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2B6B3G3G4H4,3.0,1.0,61.0,896.0,899.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2B6B3G3G4H4A5,1.0,1.0,,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8,2.0,2.0,63.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8,2.0,2.0,64.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8E8,2.0,2.0,65.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8E8B8,2.0,2.0,66.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8E8B8G5,2.0,2.0,67.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8E8B8G5G8,2.0,2.0,68.0,115.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8E8B8G5G8B5,1.0,2.0,69.0,537.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8E8B8G5G8B5G3,5.0,1.0,70.0,630.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8E8B8G5G8B5G3G4,2.0,1.0,71.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8E8B8G5G8B5G3G4B6,2.0,1.0,72.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8E8B8G5G8B5G3G4B6C7,2.0,1.0,73.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8E8B8G5G8B5G3G4B6C7D2,2.0,1.0,74.0,236.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8E8B8G5G8B5G3G4B6C7D2E3,1.0,1.0,,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C8,2.0,3.0,76.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C8D8,2.0,3.0,77.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C8D8C5,2.0,3.0,78.0,317.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C8D8C5E3,16.0,1.0,79.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C8D8C5E3B4,16.0,1.0,80.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C8D8C5E3B4E8,16.0,1.0,81.0,202.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C8D8C5E3B4E8F2,9.0,1.0,82.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C8D8C5E3B4E8F2G5,9.0,1.0,83.0,593.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C8D8C5E3B4E8F2G5G8,8.0,1.0,84.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C8D8C5E3B4E8F2G5G8E2,8.0,1.0,85.0,411.0,673.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C8D8C5E3B4E8F2G5G8E2E1,6.0,1.0,86.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C8D8C5E3B4E8F2G5G8E2E1C6,6.0,1.0,87.0,360.0,884.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C8D8C5E3B4E8F2G5G8E2E1C6D2,3.0,1.0,88.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C8D8C5E3B4E8F2G5G8E2E1C6D2G3,3.0,1.0,89.0,235.0,851.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C8D8C5E3B4E8F2G5G8E2E1C6D2G3H3,1.0,1.0,,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4C7,3.0,2.0,91.0,451.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4C7E8,2.0,3.0,92.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4C7E8C8,2.0,3.0,93.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4C7E8C8G5,2.0,3.0,94.0,,,,,,
