,num4black,num4white,0,1,2
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3F3E3C4G6G4H6D2C2,1.0,3.0,61.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3F3E3C4G6G4H6D2C2F2,1.0,3.0,62.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3F3E3C4G6G4H6D2C2F2F1,1.0,3.0,63.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3F3E3C4G6G4H6D2C2F2F1C3,1.0,3.0,64.0,111.0,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3F3E3C4G6G4H6D2C2F2F1C3H5,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3E3G8C7C8B8G7C3F3G4H6H5,2.0,1.0,66.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3E3G8C7C8B8G7C3F3G4H6H5G6,2.0,1.0,67.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3E3G8C7C8B8G7C3F3G4H6H5G6H4,2.0,1.0,68.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3E3G8C7C8B8G7C3F3G4H6H5G6H4H3,2.0,1.0,69.0,96.0,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3E3G8C7C8B8G7C3F3G4H6H5G6H4H3F2,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8F3,1.0,5.0,71.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3,1.0,5.0,72.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3,1.0,5.0,73.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4,1.0,5.0,74.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4,1.0,5.0,75.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2,1.0,5.0,76.0,124.0,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3,2.0,4.0,77.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2,2.0,4.0,78.0,114.0,150.0
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2,2.0,2.0,79.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2,2.0,2.0,80.0,147.0,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2D1,4.0,1.0,81.0,89.0,98.0
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2D1C1,2.0,1.0,82.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2D1C1E1,2.0,1.0,83.0,167.0,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2D1C1E1F1,1.0,1.0,84.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2D1C1E1F1H6,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3E3G8C7C8B8G6,1.0,1.0,86.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3E3G8C7C8B8G6G4,1.0,1.0,87.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3E3G8C7C8B8G6G4E2,1.0,1.0,88.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3E3G8C7C8B8G6G4E2H6,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2D1E1,1.0,2.0,90.0,178.0,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2D1E1C1,3.0,1.0,91.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2D1E1C1C4,3.0,1.0,92.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2D1E1C1C4H6,3.0,1.0,93.0,97.0,171.0
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2D1E1C1C4H6B5,1.0,1.0,94.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2D1E1C1C4H6B5B4,1.0,1.0,95.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2D1E1C1C4H6B5B4D7,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3E3G8C7C8B8G7C3F3G4H6H5G6H4H3C4,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2D1E1C1C4H6H5,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2D1H3,1.0,2.0,99.0,161.0,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2D1H3H2,1.0,1.0,100.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2D1H3H2E1,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2G4,1.0,2.0,102.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2G4H5,1.0,2.0,103.0,185.0,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2G4H5H4,3.0,1.0,104.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2G4H5H4H3,3.0,1.0,105.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2G4H5H4H3F1,3.0,1.0,106.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2G4H5H4H3F1E2,3.0,1.0,107.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2G4H5H4H3F1E2D2,3.0,1.0,108.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2G4H5H4H3F1E2D2D1,3.0,1.0,109.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2G4H5H4H3F1E2D2D1G2,3.0,1.0,110.0,119.0,176.0
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2G4H5H4H3F1E2D2D1G2C4,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3F3E3C4G6G4H6D2C2F2F1C3H3,1.0,2.0,112.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3F3E3C4G6G4H6D2C2F2F1C3H3B4,1.0,2.0,113.0,145.0,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3F3E3C4G6G4H6D2C2F2F1C3H3B4C7,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D7,3.0,1.0,115.0,159.0,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D7F2,2.0,1.0,116.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D7F2F8,2.0,1.0,117.0,143.0,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D7F2F8C8,1.0,1.0,118.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D7F2F8C8C7,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2G4H5H4H3F1E2D2D1G2E1,1.0,2.0,120.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2G4H5H4H3F1E2D2D1G2E1C1,1.0,2.0,121.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2G4H5H4H3F1E2D2D1G2E1C1C4,1.0,2.0,122.0,188.0,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2G4H5H4H3F1E2D2D1G2E1C1C4H2,2.0,1.0,123.0,156.0,
