,num4black,num4white,0,1,2
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4B6C8D2H6A5A3A4A7A2G8B7,1.0,1.0,58.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4B6C8D2H6A5A3A4A7A2G8B7F2,1.0,1.0,59.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4B6C8D2H6A5A3A4A7A2G8B7F2E2,1.0,1.0,60.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4B6C8D2H6A5A3A4A7A2G8B7F2E2E1,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7,4.0,1.0,62.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7,4.0,1.0,63.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8,4.0,1.0,64.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8,4.0,1.0,65.0,87.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7,2.0,1.0,66.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8,2.0,1.0,67.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6,2.0,1.0,68.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8,2.0,1.0,69.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5,2.0,1.0,70.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3,2.0,1.0,71.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2,2.0,1.0,72.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2,2.0,1.0,73.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2,2.0,1.0,74.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2D1,2.0,1.0,75.0,158.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2D1H4,1.0,2.0,76.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2D1H4H3,1.0,2.0,77.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2D1H4H3G7,1.0,2.0,78.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2D1H4H3G7B4,1.0,2.0,79.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2D1H4H3G7B4A4,1.0,2.0,80.0,153.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2D1H4H3G7B4A4C1,2.0,1.0,81.0,86.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2D1H4H3G7B4A4C1F1,1.0,1.0,82.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2D1H4H3G7B4A4C1F1H8,1.0,1.0,83.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2D1H4H3G7B4A4C1F1H8B3,1.0,1.0,84.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2D1H4H3G7B4A4C1F1H8B3E1,1.0,1.0,85.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2D1H4H3G7B4A4C1F1H8B3E1B1,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2D1H4H3G7B4A4C1B5,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6,2.0,1.0,88.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8,2.0,1.0,89.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7,2.0,1.0,90.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8,2.0,1.0,91.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5,2.0,1.0,92.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3,2.0,1.0,93.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2,2.0,1.0,94.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2E2,2.0,1.0,95.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2E2C2,2.0,1.0,96.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2E2C2D1,2.0,1.0,97.0,104.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2E2C2D1H4,1.0,2.0,98.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2E2C2D1H4H3,1.0,2.0,99.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2E2C2D1H4H3G7,1.0,2.0,100.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2E2C2D1H4H3G7B4,1.0,2.0,101.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2E2C2D1H4H3G7B4A4,1.0,2.0,102.0,157.0,
