,num4black,num4white,0,1,2
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2E2A8H4,1.0,2.0,51.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2E2A8H4H6,1.0,2.0,52.0,66.0,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2E2A8H4H6A7,2.0,1.0,53.0,77.0,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2E2A8H4H6A7D1,1.0,1.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8E2,1.0,2.0,55.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8E2H6,1.0,2.0,56.0,62.0,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8E2H6C8,1.0,1.0,57.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8E2H6C8B8,1.0,1.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8C8,2.0,2.0,59.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8C8B8,2.0,2.0,60.0,64.0,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8C8B8A7,2.0,1.0,61.0,81.0,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8C8B8A7H6,1.0,1.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8E2H6A7,2.0,1.0,63.0,73.0,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8E2H6A7D1,1.0,1.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8C8B8H2,3.0,1.0,65.0,78.0,85.0
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8C8B8H2A3,1.0,1.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2E2A8H4H6C8,1.0,1.0,67.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2E2A8H4H6C8B8,1.0,1.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6C8B8H6H4G7C2F3,2.0,1.0,69.0,80.0,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6C8B8H6H4G7C2F3D1,1.0,1.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8H2A3,1.0,1.0,71.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8H2A3C8,1.0,1.0,72.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8H2A3C8B8,1.0,1.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8E2H6A7A4,1.0,1.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8H2F3,2.0,1.0,75.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8H2F3C8,2.0,1.0,76.0,79.0,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8H2F3C8B8,1.0,1.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2E2A8H4H6A7A4,1.0,1.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8C8B8H2F3,1.0,1.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8H2F3C8H6,1.0,1.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6C8B8H6H4G7C2F3A4,1.0,1.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8C8B8A7A4,1.0,1.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6C8B8H6H4G7A4,1.0,1.0,83.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6C8B8H6H4G7A4F3,1.0,1.0,84.0,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6C8B8H6H4G7A4F3C2,1.0,1.0,,,
F5D6C5F4E3C6D3F6E6D7G3C4E7C3G4F8E8D8F7G8B4G6B5B3C7G5D2A5B6H3H5A6B7C2H4A8C8B8H2A4,1.0,1.0,,,
