,num4black,num4white,0,1,2,3,4,5,6,7
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5B3C5E2H5H4,1.0,6.0,57.0,1012.0,1761.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5B3C5E2H5H4H3,1.0,4.0,58.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5B3C5E2H5H4H3H6,1.0,4.0,59.0,2534.0,3024.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5B3C5E2H5H4H3H6G3,4.0,1.0,60.0,506.0,3349.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5B3C5E2H5H4H3H6G3C1,1.0,1.0,61.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5B3C5E2H5H4H3H6G3C1C2,1.0,1.0,62.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5B3C5E2H5H4H3H6G3C1C2E1,1.0,1.0,,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7,7.0,2.0,64.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7,7.0,2.0,65.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5,7.0,2.0,66.0,77.0,221.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3,3.0,4.0,67.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5,3.0,4.0,68.0,522.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2,2.0,8.0,69.0,129.0,137.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2F7,2.0,2.0,70.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2F7C6,2.0,2.0,71.0,4016.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2F7C6E2,3.0,1.0,72.0,4870.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2F7C6E2C1,1.0,9.0,73.0,627.0,1661.0,2352.0,2882.0,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2F7C6E2C1B6,1.0,3.0,74.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2F7C6E2C1B6E8,1.0,3.0,75.0,3147.0,5202.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2F7C6E2C1B6E8D1,1.0,1.0,76.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2F7C6E2C1B6E8D1C7,1.0,1.0,,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2,1.0,12.0,78.0,232.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2C5,1.0,11.0,79.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2C5C6,1.0,11.0,80.0,145.0,477.0,950.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2C5C6E2,1.0,2.0,81.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2C5C6E2B3,1.0,2.0,82.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2C5C6E2B3A4,1.0,2.0,83.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2C5C6E2B3A4C1,1.0,2.0,84.0,2959.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2C5C6E2B3A4C1E1,2.0,1.0,85.0,3643.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2C5C6E2B3A4C1E1A5,1.0,4.0,86.0,391.0,2069.0,4862.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2C5C6E2B3A4C1E1A5A6,1.0,1.0,87.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2C5C6E2B3A4C1E1A5A6A3,1.0,1.0,,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5F1,6.0,4.0,89.0,1436.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5F1G3,5.0,4.0,90.0,884.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5F1G3G6,5.0,2.0,91.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5F1G3G6G4,5.0,2.0,92.0,684.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5F1G3G6G4H3,5.0,1.0,93.0,2003.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5F1G3G6G4H3E7,1.0,2.0,94.0,2113.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5F1G3G6G4H3E7H6,8.0,1.0,95.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5F1G3G6G4H3E7H6C2,8.0,1.0,96.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5F1G3G6G4H3E7H6C2H4,8.0,1.0,97.0,2825.0,,,,,,
